#{"t_start": 1731416469.2304418, "env_id": "None"}
r,l,t
0.036189,62,6991.928821
0.016918,69,6997.810764
0.013927,136,7007.975783
0.001054,64,7013.475729
0.0,123,7022.644798
0.0,58,7027.7297
0.008477,75,7033.951141
0.000141,58,7039.259197
0.024173,48,7043.680326
0.011708,518,7077.756254
0.047594,55,7082.719886
0.055595,61,7088.197933
0.023829,96,7095.636916
0.036044,174,7107.783232
0.032783,161,7119.033754
0.001243,51,7123.642663
0.034316,697,7168.025028
0.288174,110,7176.308459
0.369833,87,7183.047838
0.001266,389,7208.969074
0.089465,94,7216.610891
0.054959,163,7228.082768
0.096756,161,7239.359499
0.125619,971,7301.326417
0.049149,224,7316.570712
0.054738,869,7341.598551
0.026367,398,7350.5032
0.012644,504,7361.194647
0.056336,375,7369.421103
0.033212,62,7371.193687
0.134331,1001,7392.068059
0.01659,175,7396.21914
0.008667,793,7412.899607
0.037809,496,7423.622078
0.011977,282,7429.793105
0.051212,347,7437.271375
0.024431,943,7457.228605
0.020596,97,7459.773237
0.023726,62,7461.579974
0.038614,128,7464.765011
0.013066,564,7476.69471
0.0157,353,7484.313851
0.010065,34,7485.511079
0.007265,836,7502.942148
0.02344,722,7518.520288
0.00456,21,7519.923915
0.022391,43,7521.681096
0.0,147,7525.780463
0.008299,499,7537.147648
0.0,61,7538.962971
0.0,45,7540.607317
0.0,349,7548.178721
0.007474,80,7550.318531
0.003715,48,7551.944891
0.006701,91,7554.280744
0.001616,59,7556.043334
0.0,39,7557.373008
0.0,62,7559.159861
0.002092,51,7560.80483
0.001802,111,7563.611601
0.001594,56,7565.642095
0.0,95,7568.461235
0.0,98,7571.019414
0.008015,95,7573.599377
0.0,683,7588.211851
0.005392,118,7591.244939
0.000555,51,7592.819932
0.000663,30,7593.977242
0.001732,29,7595.108496
0.019101,171,7599.295024
0.008532,154,7603.159639
0.007671,52,7604.812126
0.001165,1001,7625.693772
0.0,56,7627.376215
0.003952,38,7628.692535
0.0,121,7631.883541
0.0,72,7634.232008
0.0,33,7635.749213
0.0,64,7637.705652
0.001563,126,7640.912184
0.011344,715,7656.167018
0.0,229,7661.371625
0.001372,65,7663.323785
0.007953,35,7664.660381
0.0,34,7665.931316
0.021112,89,7668.246113
0.000195,53,7669.80528
0.0,37,7671.143164
0.001711,92,7673.647885
0.0,87,7675.973884
0.0,114,7678.883026
0.0,1001,7700.037492
0.000205,65,7701.883751
0.025269,53,7703.46184
0.002256,279,7709.740712
0.0,46,7711.176514
0.0,405,7720.81239
0.005335,1001,7742.462193
0.0,1001,7763.571432
0.0,95,7766.025773
0.0,1001,7787.124505
0.002109,293,7793.672352
0.006861,764,7809.824736
0.0,458,7819.62381
0.0,355,7827.469092
0.0,430,7836.568272
0.016284,111,7839.367714
0.0,1001,7860.131026
0.002651,260,7866.045051
0.0,140,7869.622578
0.007023,621,7883.245075
0.0,75,7885.383095
0.001444,1001,7906.385731
0.003249,13,7907.201933
0.0,840,7926.467637
0.003188,51,7928.160106
0.0,1001,7949.294934
0.003235,1001,7969.886386
0.0,708,7985.017189
0.002909,30,7986.179731
0.00359,143,7989.603558
0.003338,122,7992.591189
0.004118,639,8006.082217
0.005298,131,8009.191072
0.001982,26,8010.241538
0.0,993,8030.964684
0.007733,109,8033.73614
0.000849,24,8034.793303
0.000127,26,8035.874705
0.0,62,8037.693124
0.0,342,8045.196753
